Mod:Item:MetaData, Localized Name
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, キノコ
minecraft:red_mushroom, キノコ
minecraft:gold_block, 金ブロック
minecraft:iron_block, 鉄ブロック
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, レンガ
minecraft:tnt, TNT
minecraft:bookshelf, 本棚
minecraft:mossy_cobblestone, 苔むした丸石
minecraft:obsidian, 黒曜石
minecraft:torch, 松明
minecraft:mob_spawner, モンスタースポナー
minecraft:oak_stairs, オークの木材の階段
minecraft:chest, チェスト
minecraft:diamond_ore, ダイヤモンド鉱石
minecraft:diamond_block, ダイヤモンドブロック
minecraft:crafting_table, 作業台
minecraft:farmland, 耕地
minecraft:furnace, かまど
minecraft:ladder, はしご
minecraft:rail, レール
minecraft:stone_stairs, 丸石の階段
minecraft:lever, レバー
minecraft:stone_pressure_plate, 石の感圧板
minecraft:wooden_pressure_plate, 木の感圧板
minecraft:redstone_ore, レッドストーン鉱石
minecraft:redstone_torch, レッドストーントーチ
minecraft:stone_button, ボタン
minecraft:snow_layer, 雪
minecraft:ice, 氷
minecraft:snow, 雪
minecraft:cactus, サボテン
minecraft:clay, 粘土
minecraft:jukebox, ジュークボックス
minecraft:fence, オークのフェンス
minecraft:pumpkin, カボチャ
minecraft:netherrack, ネザーラック
minecraft:soul_sand, ソウルサンド
minecraft:glowstone, グロウストーン
minecraft:lit_pumpkin, ジャック・オ・ランタン
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, 木のトラップドア
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, キノコ
minecraft:red_mushroom_block, キノコ
minecraft:iron_bars, 鉄格子
minecraft:glass_pane, 板ガラス
minecraft:melon_block, スイカ
minecraft:vine, ツタ
minecraft:fence_gate, オークのフェンスゲート
minecraft:brick_stairs, レンガの階段
minecraft:stone_brick_stairs, 石レンガの階段
minecraft:mycelium, 菌糸
minecraft:waterlily, スイレンの葉
minecraft:nether_brick, ネザーレンガ
minecraft:nether_brick_fence, ネザーレンガのフェンス
minecraft:nether_brick_stairs, ネザーレンガの階段
minecraft:enchanting_table, エンチャントテーブル
minecraft:end_portal_frame, エンドポータル
minecraft:end_stone, エンドストーン
minecraft:dragon_egg, ドラゴンの卵
minecraft:redstone_lamp, レッドストーンランプ
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:sandstone_stairs, 砂岩の階段
minecraft:emerald_ore, エメラルド鉱石
minecraft:ender_chest, エンダーチェスト
minecraft:tripwire_hook, トリップワイヤーフック
minecraft:emerald_block, エメラルドブロック
minecraft:spruce_stairs, マツの木材の階段
minecraft:birch_stairs, シラカバの木材の階段
minecraft:jungle_stairs, ジャングルの木材の階段
minecraft:command_block, コマンドブロック
minecraft:beacon, ビーコン
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:wooden_button, ボタン
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, トラップチェスト
minecraft:light_weighted_pressure_plate, 重量感圧板（軽）
minecraft:heavy_weighted_pressure_plate, 重量感圧板（重）
minecraft:daylight_detector, 日照センサー
minecraft:redstone_block, レッドストーンブロック
minecraft:quartz_ore, ネザークォーツ鉱石
minecraft:hopper, ホッパー
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, クォーツの階段
minecraft:activator_rail, アクティベーターレール
minecraft:dropper, ドロッパー
minecraft:stained_hardened_clay:0, White Terracotta
minecraft:stained_hardened_clay:1, Orange Terracotta
minecraft:stained_hardened_clay:2, Magenta Terracotta
minecraft:stained_hardened_clay:3, Light Blue Terracotta
minecraft:stained_hardened_clay:4, Yellow Terracotta
minecraft:stained_hardened_clay:5, Lime Terracotta
minecraft:stained_hardened_clay:6, Pink Terracotta
minecraft:stained_hardened_clay:7, Gray Terracotta
minecraft:stained_hardened_clay:8, Light Gray Terracotta
minecraft:stained_hardened_clay:9, Cyan Terracotta
minecraft:stained_hardened_clay:10, Purple Terracotta
minecraft:stained_hardened_clay:11, Blue Terracotta
minecraft:stained_hardened_clay:12, Brown Terracotta
minecraft:stained_hardened_clay:13, Green Terracotta
minecraft:stained_hardened_clay:14, Red Terracotta
minecraft:stained_hardened_clay:15, Black Terracotta
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, アカシアの木材の階段
minecraft:dark_oak_stairs, ダークオークの木材の階段
minecraft:slime, スライムブロック
minecraft:barrier, バリアブロック
minecraft:iron_trapdoor, 鉄のトラップドア
minecraft:prismarine:0, Prismarine
minecraft:prismarine:1, Prismarine Bricks
minecraft:prismarine:2, Dark Prismarine
minecraft:sea_lantern, シーランタン
minecraft:hay_block, 干草の俵
minecraft:carpet:0, White Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, テラコッタ
minecraft:coal_block, 石炭ブロック
minecraft:packed_ice, 氷塊
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
minecraft:red_sandstone:0, Red Sandstone
minecraft:red_sandstone:1, Chiseled Red Sandstone
minecraft:red_sandstone:2, Smooth Red Sandstone
minecraft:red_sandstone_stairs, 赤砂岩の階段
minecraft:stone_slab2:0, Red Sandstone Slab
minecraft:spruce_fence_gate, マツのフェンスゲート
minecraft:birch_fence_gate, シラカバのフェンスゲート
minecraft:jungle_fence_gate, ジャングルのフェンスゲート
minecraft:dark_oak_fence_gate, ダークオークのフェンスゲート
minecraft:acacia_fence_gate, アカシアのフェンスゲート
minecraft:spruce_fence, マツのフェンス
minecraft:birch_fence, シラカバのフェンス
minecraft:jungle_fence, ジャングルのフェンス
minecraft:dark_oak_fence, ダークオークのフェンス
minecraft:acacia_fence, アカシアのフェンス
minecraft:end_rod, エンドロッド
minecraft:chorus_plant, コーラスプラント
minecraft:chorus_flower, コーラスフラワー
minecraft:purpur_block, プルプァブロック
minecraft:purpur_pillar, プルプァの柱
minecraft:purpur_stairs, プルプァの階段
minecraft:purpur_slab:0, Purpur Slab
minecraft:end_bricks, エンドストーンレンガ
minecraft:grass_path, 草の道
minecraft:repeating_command_block, リピートコマンドブロック
minecraft:chain_command_block, チェーンコマンドブロック
minecraft:magma, マグマブロック
minecraft:nether_wart_block, ネザーウォートブロック
minecraft:red_nether_brick, 赤いネザーレンガ
minecraft:bone_block, 骨ブロック
minecraft:structure_void, ストラクチャーヴォイド
minecraft:observer, オブザーバー
minecraft:white_shulker_box, 白色のシュルカーボックス
minecraft:orange_shulker_box, 橙色のシュルカーボックス
minecraft:magenta_shulker_box, 赤紫色のシュルカーボックス
minecraft:light_blue_shulker_box, 空色のシュルカーボックス
minecraft:yellow_shulker_box, 黄色のシュルカーボックス
minecraft:lime_shulker_box, 黄緑色のシュルカーボックス
minecraft:pink_shulker_box, 桃色のシュルカーボックス
minecraft:gray_shulker_box, 灰色のシュルカーボックス
minecraft:silver_shulker_box, 薄灰色のシュルカーボックス
minecraft:cyan_shulker_box, 青緑色のシュルカーボックス
minecraft:purple_shulker_box, 紫色のシュルカーボックス
minecraft:blue_shulker_box, 青色のシュルカーボックス
minecraft:brown_shulker_box, 茶色のシュルカーボックス
minecraft:green_shulker_box, 緑色のシュルカーボックス
minecraft:red_shulker_box, 赤色のシュルカーボックス
minecraft:black_shulker_box, 黒色のシュルカーボックス
minecraft:white_glazed_terracotta, 白色の彩釉テラコッタ
minecraft:orange_glazed_terracotta, 橙色の彩釉テラコッタ
minecraft:magenta_glazed_terracotta, 赤紫色の彩釉テラコッタ
minecraft:light_blue_glazed_terracotta, 空色の彩釉テラコッタ
minecraft:yellow_glazed_terracotta, 黄色の彩釉テラコッタ
minecraft:lime_glazed_terracotta, 黄緑色の彩釉テラコッタ
minecraft:pink_glazed_terracotta, 桃色の彩釉テラコッタ
minecraft:gray_glazed_terracotta, 灰色の彩釉テラコッタ
minecraft:silver_glazed_terracotta, 薄灰色の彩釉テラコッタ
minecraft:cyan_glazed_terracotta, 青緑色の彩釉テラコッタ
minecraft:purple_glazed_terracotta, 紫色の彩釉テラコッタ
minecraft:blue_glazed_terracotta, 青色の彩釉テラコッタ
minecraft:brown_glazed_terracotta, 茶色の彩釉テラコッタ
minecraft:green_glazed_terracotta, 緑色の彩釉テラコッタ
minecraft:red_glazed_terracotta, 赤色の彩釉テラコッタ
minecraft:black_glazed_terracotta, 黒色の彩釉テラコッタ
minecraft:concrete:0, White Concrete
minecraft:concrete:1, Orange Concrete
minecraft:concrete:2, Magenta Concrete
minecraft:concrete:3, Light Blue Concrete
minecraft:concrete:4, Yellow Concrete
minecraft:concrete:5, Lime Concrete
minecraft:concrete:6, Pink Concrete
minecraft:concrete:7, Gray Concrete
minecraft:concrete:8, Light Gray Concrete
minecraft:concrete:9, Cyan Concrete
minecraft:concrete:10, Purple Concrete
minecraft:concrete:11, Blue Concrete
minecraft:concrete:12, Brown Concrete
minecraft:concrete:13, Green Concrete
minecraft:concrete:14, Red Concrete
minecraft:concrete:15, Black Concrete
minecraft:concrete_powder:0, White Concrete Powder
minecraft:concrete_powder:1, Orange Concrete Powder
minecraft:concrete_powder:2, Magenta Concrete Powder
minecraft:concrete_powder:3, Light Blue Concrete Powder
minecraft:concrete_powder:4, Yellow Concrete Powder
minecraft:concrete_powder:5, Lime Concrete Powder
minecraft:concrete_powder:6, Pink Concrete Powder
minecraft:concrete_powder:7, Gray Concrete Powder
minecraft:concrete_powder:8, Light Gray Concrete Powder
minecraft:concrete_powder:9, Cyan Concrete Powder
minecraft:concrete_powder:10, Purple Concrete Powder
minecraft:concrete_powder:11, Blue Concrete Powder
minecraft:concrete_powder:12, Brown Concrete Powder
minecraft:concrete_powder:13, Green Concrete Powder
minecraft:concrete_powder:14, Red Concrete Powder
minecraft:concrete_powder:15, Black Concrete Powder
minecraft:structure_block, ストラクチャーブロック
minecraft:iron_shovel, 鉄のシャベル
minecraft:iron_pickaxe, 鉄のツルハシ
minecraft:iron_axe, 鉄の斧
minecraft:flint_and_steel, 火打石と打ち金
minecraft:apple, リンゴ
minecraft:bow, 弓
minecraft:arrow, 矢
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, ダイヤモンド
minecraft:iron_ingot, 鉄インゴット
minecraft:gold_ingot, 金インゴット
minecraft:iron_sword, 鉄の剣
minecraft:wooden_sword, 木の剣
minecraft:wooden_shovel, 木のシャベル
minecraft:wooden_pickaxe, 木のツルハシ
minecraft:wooden_axe, 木の斧
minecraft:stone_sword, 石の剣
minecraft:stone_shovel, 石のシャベル
minecraft:stone_pickaxe, 石のツルハシ
minecraft:stone_axe, 石の斧
minecraft:diamond_sword, ダイヤモンドの剣
minecraft:diamond_shovel, ダイヤモンドのシャベル
minecraft:diamond_pickaxe, ダイヤモンドのツルハシ
minecraft:diamond_axe, ダイヤモンドの斧
minecraft:stick, 棒
minecraft:bowl, ボウル
minecraft:mushroom_stew, キノコシチュー
minecraft:golden_sword, 金の剣
minecraft:golden_shovel, 金のシャベル
minecraft:golden_pickaxe, 金のツルハシ
minecraft:golden_axe, 金の斧
minecraft:string, 糸
minecraft:feather, 羽根
minecraft:gunpowder, 火薬
minecraft:wooden_hoe, 木のクワ
minecraft:stone_hoe, 石のクワ
minecraft:iron_hoe, 鉄のクワ
minecraft:diamond_hoe, ダイヤモンドのクワ
minecraft:golden_hoe, 金のクワ
minecraft:wheat_seeds, 種
minecraft:wheat, 小麦
minecraft:bread, パン
minecraft:leather_helmet, 革の帽子
minecraft:leather_chestplate, 革の上着
minecraft:leather_leggings, 革のズボン
minecraft:leather_boots, 革のブーツ
minecraft:chainmail_helmet, チェーンのヘルメット
minecraft:chainmail_chestplate, チェーンのチェストプレート
minecraft:chainmail_leggings, チェーンのレギンス
minecraft:chainmail_boots, チェーンのブーツ
minecraft:iron_helmet, 鉄のヘルメット
minecraft:iron_chestplate, 鉄のチェストプレート
minecraft:iron_leggings, 鉄のレギンス
minecraft:iron_boots, 鉄のブーツ
minecraft:diamond_helmet, ダイヤモンドのヘルメット
minecraft:diamond_chestplate, ダイヤモンドのチェストプレート
minecraft:diamond_leggings, ダイヤモンドのレギンス
minecraft:diamond_boots, ダイヤモンドのブーツ
minecraft:golden_helmet, 金のヘルメット
minecraft:golden_chestplate, 金のチェストプレート
minecraft:golden_leggings, 金のレギンス
minecraft:golden_boots, 金のブーツ
minecraft:flint, 火打石
minecraft:porkchop, 生の豚肉
minecraft:cooked_porkchop, 焼き豚
minecraft:painting, 絵画
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, 看板
minecraft:wooden_door, オークのドア
minecraft:bucket, バケツ
minecraft:water_bucket, 水入りバケツ
minecraft:lava_bucket, 溶岩入りバケツ
minecraft:minecart, トロッコ
minecraft:saddle, 鞍
minecraft:iron_door, 鉄のドア
minecraft:redstone, レッドストーン
minecraft:snowball, 雪玉
minecraft:boat, オークのボート
minecraft:leather, 革
minecraft:milk_bucket, 牛乳
minecraft:brick, レンガ
minecraft:clay_ball, 粘土
minecraft:reeds, サトウキビ
minecraft:paper, 紙
minecraft:book, 本
minecraft:slime_ball, スライムボール
minecraft:chest_minecart, チェスト付きトロッコ
minecraft:furnace_minecart, かまど付きトロッコ
minecraft:egg, 卵
minecraft:compass, コンパス
minecraft:fishing_rod, 釣竿
minecraft:clock, 時計
minecraft:glowstone_dust, グロウストーンダスト
minecraft:fish:0, Raw Fish
minecraft:fish:1, Raw Salmon
minecraft:fish:2, Clownfish
minecraft:fish:3, Pufferfish
minecraft:cooked_fish:0, Cooked Fish
minecraft:cooked_fish:1, Cooked Salmon
minecraft:dye:0, Ink Sac
minecraft:dye:1, Rose Red
minecraft:dye:2, Cactus Green
minecraft:dye:3, Cocoa Beans
minecraft:dye:4, Lapis Lazuli
minecraft:dye:5, Purple Dye
minecraft:dye:6, Cyan Dye
minecraft:dye:7, Light Gray Dye
minecraft:dye:8, Gray Dye
minecraft:dye:9, Pink Dye
minecraft:dye:10, Lime Dye
minecraft:dye:11, Dandelion Yellow
minecraft:dye:12, Light Blue Dye
minecraft:dye:13, Magenta Dye
minecraft:dye:14, Orange Dye
minecraft:dye:15, Bone Meal
minecraft:bone, 骨
minecraft:sugar, 砂糖
minecraft:cake, ケーキ
minecraft:bed:0, White Bed
minecraft:bed:1, Orange Bed
minecraft:bed:2, Magenta Bed
minecraft:bed:3, Light Blue Bed
minecraft:bed:4, Yellow Bed
minecraft:bed:5, Lime Bed
minecraft:bed:6, Pink Bed
minecraft:bed:7, Gray Bed
minecraft:bed:8, Light Gray Bed
minecraft:bed:9, Cyan Bed
minecraft:bed:10, Purple Bed
minecraft:bed:11, Blue Bed
minecraft:bed:12, Brown Bed
minecraft:bed:13, Green Bed
minecraft:bed:14, Red Bed
minecraft:bed:15, Black Bed
minecraft:repeater, レッドストーンリピーター
minecraft:cookie, クッキー
minecraft:filled_map:0, Map
minecraft:shears, ハサミ
minecraft:melon, スイカ
minecraft:pumpkin_seeds, カボチャの種
minecraft:melon_seeds, スイカの種
minecraft:beef, 生の牛肉
minecraft:cooked_beef, ステーキ
minecraft:chicken, 生の鶏肉
minecraft:cooked_chicken, 焼き鳥
minecraft:rotten_flesh, 腐った肉
minecraft:ender_pearl, エンダーパール
minecraft:blaze_rod, ブレイズロッド
minecraft:ghast_tear, ガストの涙
minecraft:gold_nugget, 金塊
minecraft:nether_wart, ネザーウォート
minecraft:potion, ポーション
minecraft:glass_bottle, ガラス瓶
minecraft:spider_eye, クモの目
minecraft:fermented_spider_eye, 発酵したクモの目
minecraft:blaze_powder, ブレイズパウダー
minecraft:magma_cream, マグマクリーム
minecraft:brewing_stand, 醸造台
minecraft:cauldron, 大釜
minecraft:ender_eye, エンダーアイ
minecraft:speckled_melon, きらめくスイカ
minecraft:spawn_egg, スポーン
minecraft:experience_bottle, エンチャントの瓶
minecraft:fire_charge, ファイヤーチャージ
minecraft:writable_book, 本と羽根ペン
minecraft:written_book, 記入済みの本
minecraft:emerald, エメラルド
minecraft:item_frame, 額縁
minecraft:flower_pot, 植木鉢
minecraft:carrot, ニンジン
minecraft:potato, ジャガイモ
minecraft:baked_potato, ベイクドポテト
minecraft:poisonous_potato, 青くなったジャガイモ
minecraft:map, 白紙の地図
minecraft:golden_carrot, 金のニンジン
minecraft:skull:0, Skeleton Skull
minecraft:skull:1, Wither Skeleton Skull
minecraft:skull:2, Zombie Head
minecraft:skull:3, Head
minecraft:skull:4, Creeper Head
minecraft:skull:5, Dragon Head
minecraft:carrot_on_a_stick, ニンジン付きの棒
minecraft:nether_star, ネザースター
minecraft:pumpkin_pie, パンプキンパイ
minecraft:fireworks, ロケット花火
minecraft:firework_charge, 花火の星
minecraft:enchanted_book, エンチャントの本
minecraft:comparator, レッドストーンコンパレーター
minecraft:netherbrick, ネザーレンガ
minecraft:quartz, ネザークォーツ
minecraft:tnt_minecart, TNT 付きトロッコ
minecraft:hopper_minecart, ホッパー付きトロッコ
minecraft:prismarine_shard, プリズマリンの欠片
minecraft:prismarine_crystals, プリズマリンクリスタル
minecraft:rabbit, 生の兎肉
minecraft:cooked_rabbit, 焼き兎肉
minecraft:rabbit_stew, ウサギシチュー
minecraft:rabbit_foot, ウサギの足
minecraft:rabbit_hide, ウサギの皮
minecraft:armor_stand, 防具立て
minecraft:iron_horse_armor, 鉄の馬鎧
minecraft:golden_horse_armor, 金の馬鎧
minecraft:diamond_horse_armor, ダイヤモンドの馬鎧
minecraft:lead, リード
minecraft:name_tag, 名札
minecraft:command_block_minecart, コマンドブロック付きトロッコ
minecraft:mutton, 生の羊肉
minecraft:cooked_mutton, 焼き羊肉
minecraft:banner:15, White Banner
minecraft:banner:14, Orange Banner
minecraft:banner:13, Magenta Banner
minecraft:banner:12, Light Blue Banner
minecraft:banner:11, Yellow Banner
minecraft:banner:10, Lime Banner
minecraft:banner:9, Pink Banner
minecraft:banner:8, Gray Banner
minecraft:banner:7, Light Gray Banner
minecraft:banner:6, Cyan Banner
minecraft:banner:5, Purple Banner
minecraft:banner:4, Blue Banner
minecraft:banner:3, Brown Banner
minecraft:banner:2, Green Banner
minecraft:banner:1, Red Banner
minecraft:banner:0, Black Banner
minecraft:end_crystal, エンドクリスタル
minecraft:spruce_door, マツのドア
minecraft:birch_door, シラカバのドア
minecraft:jungle_door, ジャングルのドア
minecraft:acacia_door, アカシアのドア
minecraft:dark_oak_door, ダークオークのドア
minecraft:chorus_fruit, コーラスフルーツ
minecraft:chorus_fruit_popped, 焼いたコーラスフルーツ
minecraft:beetroot, ビートルート
minecraft:beetroot_seeds, ビートルートの種
minecraft:beetroot_soup, ビートルートスープ
minecraft:dragon_breath, ドラゴンブレス
minecraft:splash_potion, スプラッシュポーション
minecraft:spectral_arrow, 光の矢
minecraft:tipped_arrow, 効能付きの矢
minecraft:lingering_potion, 残留ポーション
minecraft:shield, 盾
minecraft:elytra, エリトラ
minecraft:spruce_boat, マツのボート
minecraft:birch_boat, シラカバのボート
minecraft:jungle_boat, ジャングルのボート
minecraft:acacia_boat, アカシアのボート
minecraft:dark_oak_boat, ダークオークのボート
minecraft:totem_of_undying, 不死のトーテム
minecraft:shulker_shell, シュルカーの殻
minecraft:iron_nugget, 鉄塊
minecraft:knowledge_book, 知恵の本
minecraft:record_13, レコード
minecraft:record_cat, レコード
minecraft:record_blocks, レコード
minecraft:record_chirp, レコード
minecraft:record_far, レコード
minecraft:record_mall, レコード
minecraft:record_mellohi, レコード
minecraft:record_stal, レコード
minecraft:record_strad, レコード
minecraft:record_ward, レコード
minecraft:record_11, レコード
minecraft:record_wait, レコード
aenetvistool:net_visualizer, Network Visualization Tool
ae2stuff:encoder, パターンエンコーダ
ae2stuff:grower, クリスタル成長機
ae2stuff:inscriber, 発展型刻印機
ae2stuff:wireless, 無線コネクタ
ae2stuff:wireless_kit, 無線設定キット
ae2stuff:visualiser, ネットワーク可視化ツール
aeadditions:part.base:0, ME Drive Fixture
aeadditions:part.base:1, ME Energy Cell Fixture
aeadditions:part.base:2, ME Fluid Interface
aeadditions:part.base:3, ME Ore Dictionary Export Bus
aeadditions:storage.fluid:0, ME 256k Fluid Storage Cell
aeadditions:storage.fluid:1, ME 1024k Fluid Storage Cell
aeadditions:storage.fluid:2, ME 4096k Fluid Storage Cell
aeadditions:storage.physical:0, ME 256k Storage Cell
aeadditions:storage.physical:1, ME 1024k Storage Cell
aeadditions:storage.physical:2, ME 4096k Storage Cell
aeadditions:storage.physical:3, ME 16384k Storage Cell
aeadditions:storage.physical:4, ME Block Container - Empty
aeadditions:storage.physical:4, ME Block Container - Empty
aeadditions:pattern.fluid:0, ME Fluid Pattern
aeadditions:pattern.fluid:0, ME Fluid Pattern: Water
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lava
aeadditions:pattern.fluid:0, ME Fluid Pattern: Canola Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Refined Canola Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Crystallized Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Empowered Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Aluminium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Americium
